Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
FSIP,0,0,0,0,0,0,0,0,0,
Authority,11,237,580,0,0,0,0,0,0,
IG,0,0,0,0,0,0,0,0,0,
OGC,0,0,0,0,0,0,0,0,0,
ATRO,0,0,0,0,0,0,0,0,0,
BORO,0,0,0,0,0,0,0,0,0,
CHRO,0,0,0,0,0,0,0,0,0,
DARO,0,0,0,0,0,0,0,0,0,
DERO,0,0,0,0,0,0,0,0,0,
SFRO,2,8,8,0,0,0,0,0,0,
WARO,0,0,0,0,0,0,0,0,0,
Total,13,191,492,0,0,0,0,0,0,
