Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
15 U.S.C. § 4305(d),Information submitted under the National Cooperative Research and Production Act of 1993,None,1,Antitrust,1
18 U.S.C. § 3153,Information regarding pre-trial services,None,5,EOUSA,5
18 U.S.C. § 5038,Juvenile arrest records,None,1,EOUSA,5
18 U.S.C. § 5038,Juvenile arrest records,None,4,FBI,5
42 U.S.C. § 3789g,Data received by the Bureau of Justice Statistics and used only for statistical or research purposes,None,5,OJP,5
5 U.S.C. app. § 107(a),Financial disclosure information pertaining to certain government employees,"Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992)Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009), renewed motion for summary judgment granted in part on other grounds, 699 F. Supp. 2d 106 (D.D.C. 2010)",84,EOUSA,84
5 U.S.C. § 574,Dispute resolution communications,None,2,ENRD,2
10 U.S.C. § 130b,"Personally identifiable information pertaining to members of the armed forces assigned to ""routinely deployable unit[s]"" and certain employees of DOD and DHS","Hiken v. DOD, 521 F. Supp. 2d 1047, 1062 (N.D. Cal. 2007)O'Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006)Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005)",1,FBI,1
10 U.S.C. § 130c,"Certain ""sensitive information of foreign governments"" and certain international organizations","Nat'l Inst. of Military Justice v. DOD, 404 F. Supp. 2d 325, 335-37 (D.D.C. 2005), aff'd on other grounds, 512 F.3d 677 (D.C. Cir. 2008)ACLU v. DOD, 389 F. Supp. 2d 547, 554 (S.D.N.Y. 2005)Gerstein v. DOD, No. 03-5193, slip op. at 8 (N.D. Ca. Dec. 21, 2004)",1,OLC,1
10 U.S.C. § 424,"Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","Physicians for Human Rights v. DOD, No. RDB-08-273, 2011 WL 1495942, at *7 (D.D.C. Apr. 19, 2011)Miller v. DOJ, 562 F. Supp. 2d 82, 112 (D.D.C. 2008)Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004)",2,FBI,2
10 U.S.C. § 2305(g),Certain contractor proposals that are not set forth or incorporated into the contract,"Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011)Chesterfield Assocs., Inc. v. U.S. Coast Guard, No. 08-CV-4674, 2009 WL 1406994, at *1-2 (E.D.N.Y. May 19, 2009)",3,EOUSA,3
15 U.S.C. § 18a(h),Information submitted in connection with the premerger notification provisions of the Hart-Scott-Rodino Antitrust Improvements Act of 1976,"Lieberman v. FTC, 771 F.2d 32, 39 n.14 (2d Cir. 1985) (dictum)",6,Antitrust,6
15 U.S.C. § 1314(g),"""Any documentary material, answers to written interrogatories, or transcripts of oral testimony"" provided pursuant to any demand issued under chapter 34 of title 15 of the United States Code","Motion Picture Ass'n of Am. v. DOJ, No. 80 Civ. 6612, slip op. at 1 (S.D.N.Y. Oct. 6, 1981)",6,Antitrust,6
18 U.S.C. §§ 2510-20,"Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175, at *2 (D.C. Cir. Sept. 14, 2007) (per curiam)Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997)Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991)",3,Criminal,129
18 U.S.C. §§ 2510-20,"Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175, at *2 (D.C. Cir. Sept. 14, 2007) (per curiam)Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997)Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991)",49,DEA,129
18 U.S.C. §§ 2510-20,"Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175, at *2 (D.C. Cir. Sept. 14, 2007) (per curiam)Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997)Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991)",77,FBI,129
18 U.S.C. § 3123(d),"Certain court ""order[s] authorizing or approving the installation and use of a pen register or a trap and trace device""; information pertaining to ""the existence of the pen register or trap and trace device or the existence of the investigation""","Jennings v. FBI, No 03-1651, slip op. at 11-12 (D.D.C. May 6, 2004)Riley v. FBI, No. 00-2378, 2002 U.S. Dist. LEXIS 2632, at *5-6 (D.D.C. Feb. 11, 2002)Manna v. DOJ, 815 F. Supp. 798, 812 (D.N.J. 1993), aff'd on other grounds, 51 F.3d 1158 (3d Cir. 1995)",8,EOUSA,35
18 U.S.C. § 3123(d),"Certain court ""order[s] authorizing or approving the installation and use of a pen register or a trap and trace device""; information pertaining to ""the existence of the pen register or trap and trace device or the existence of the investigation""","Jennings v. FBI, No 03-1651, slip op. at 11-12 (D.D.C. May 6, 2004)Riley v. FBI, No. 00-2378, 2002 U.S. Dist. LEXIS 2632, at *5-6 (D.D.C. Feb. 11, 2002)Manna v. DOJ, 815 F. Supp. 798, 812 (D.N.J. 1993), aff'd on other grounds, 51 F.3d 1158 (3d Cir. 1995)",27,FBI,35
18 U.S.C. § 3509(d),Certain records containing identifying information pertaining to children involved in criminal proceedings,"Tampico v. EOUSA, No. 04-2285, slip op. at 8 (D.D.C. Apr. 29, 2005)",3,EOUSA,3
18 U.S.C. § 3521(b)(1)(g),"""[T]he identity or location of the person relocated or protected, or any other matter concerning the person or the program after weighing [various factors],"" subject to certain exceptions","Bonadonna v. DOJ, No. 09-40011-RWZ, 2010 WL 745790, at *1 (D. Mass. Feb. 22, 2010)",48,BOP,58
18 U.S.C. § 3521(b)(1)(g),"""[T]he identity or location of the person relocated or protected, or any other matter concerning the person or the program after weighing [various factors],"" subject to certain exceptions","Bonadonna v. DOJ, No. 09-40011-RWZ, 2010 WL 745790, at *1 (D. Mass. Feb. 22, 2010)",1,FBI,58
18 U.S.C. § 3521(b)(1)(g),"""[T]he identity or location of the person relocated or protected, or any other matter concerning the person or the program after weighing [various factors],"" subject to certain exceptions","Bonadonna v. DOJ, No. 09-40011-RWZ, 2010 WL 745790, at *1 (D. Mass. Feb. 22, 2010)",9,USMS,58
"26 U.S.C. §§ 6103, 6105",Certain tax return information and certain tax convention information,"Church of Scientology v. IRS. 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103)Pac. Fisheries, Inc. v. IRS, No. 09-35618, 2010 WL 3611645, at *2 (9th Cir. September 15, 2010) (unpublished disposition)Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105)",5,ATF,29
"26 U.S.C. §§ 6103, 6105",Certain tax return information and certain tax convention information,"Church of Scientology v. IRS. 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103)Pac. Fisheries, Inc. v. IRS, No. 09-35618, 2010 WL 3611645, at *2 (9th Cir. September 15, 2010) (unpublished disposition)Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105)",16,FBI,29
"26 U.S.C. §§ 6103, 6105",Certain tax return information and certain tax convention information,"Church of Scientology v. IRS. 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103)Pac. Fisheries, Inc. v. IRS, No. 09-35618, 2010 WL 3611645, at *2 (9th Cir. September 15, 2010) (unpublished disposition)Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105)",7,TAX,29
"26 U.S.C. §§ 6103, 6105",Certain tax return information and certain tax convention information,"Church of Scientology v. IRS. 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103)Pac. Fisheries, Inc. v. IRS, No. 09-35618, 2010 WL 3611645, at *2 (9th Cir. September 15, 2010) (unpublished disposition)Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105)",1,USPC,29
31 U.S.C. § 5319,Reports pertaining to monetary instrument transactions filed under subchapter II of chapter 53 of title 31 and records of those reports,"Hulstein v. DEA, No. 10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011)Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 829 (3d Cir. 2008)Sciba v. Bd. of Governors of the Fed. Reserve Sys., No. 04-1011, 2005 WL 3201206, at *6 (D.D.C. Nov. 4, 2005)",23,FBI,24
31 U.S.C. § 5319,Reports pertaining to monetary instrument transactions filed under subchapter II of chapter 53 of title 31 and records of those reports,"Hulstein v. DEA, No. 10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011)Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 829 (3d Cir. 2008)Sciba v. Bd. of Governors of the Fed. Reserve Sys., No. 04-1011, 2005 WL 3201206, at *6 (D.D.C. Nov. 4, 2005)",1,USMS,24
41 U.S.C. § 253b(m)(1),Certain contractor proposals that have not been set forth or incorporated by reference into the contract,"Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011)Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)",3,EOUST,3
41 U.S.C. § 423(a)(1),Contractor bid or proposal information; source selection information prior to contract award,"Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum)",1,USMS,1
41 U.S.C. § 4702,Certain contractor proposals that have not been set forth or incorporated by reference into the contract,None,3,JMD,3
42 U.S.C. § 2000g-2(b),Community Relations Service confidentiality information,None,2,CRS,2
50 U.S.C. § 402 note,Intelligence-related information,"Houghton v. NSA, No. 09-4440, 2010 WL 1784058, at *3 (3d Cir. May 5, 2010) (per curiam)Larson v. Dep?t of State, 565 F.3d 857, 868-69 (D.C. Cir. 2009)Founding Church of Scientology v. NSA, 610 F.2d 824, 827-28 (D.C. Cir. 1979)Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted, 354 F. App?x. 591 (2d Cir. 2009)",1,FBI,3
50 U.S.C. § 402 note,Intelligence-related information,"Houghton v. NSA, No. 09-4440, 2010 WL 1784058, at *3 (3d Cir. May 5, 2010) (per curiam)Larson v. Dep?t of State, 565 F.3d 857, 868-69 (D.C. Cir. 2009)Founding Church of Scientology v. NSA, 610 F.2d 824, 827-28 (D.C. Cir. 1979)Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted, 354 F. App?x. 591 (2d Cir. 2009)",2,OLC,3
50 U.S.C. § 403g,"Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","Larson v. Dep't of State, 565 F. 3d 857, 865 n.2 (D.C. Cir. 2009)Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007)Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008)",88,FBI,89
50 U.S.C. § 403g,"Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","Larson v. Dep't of State, 565 F. 3d 857, 865 n.2 (D.C. Cir. 2009)Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007)Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008)",1,OLC,89
50 U.S.C. § 403-1(i)(1),Intelligence sources and methods,"CIA v. Sims, 471 U.S. 159, 167 (1985)Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007)Wolf v. CIA, 473 F.3d 370, 378, 380 (D.C. Cir. 2007)",81,FBI,83
50 U.S.C. § 403-1(i)(1),Intelligence sources and methods,"CIA v. Sims, 471 U.S. 159, 167 (1985)Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007)Wolf v. CIA, 473 F.3d 370, 378, 380 (D.C. Cir. 2007)",2,OLC,83
50 U.S.C. § 1806(b),Electronic surveillance information acquired pursuant to subchapter I of chapter 36 of title 50,None,1,FBI,1
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings,"Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007) Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981) Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008) Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",1,Office of the AG,841
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings,"Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007) Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981) Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008) Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",3,Antitrust,841
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings,"Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007) Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981) Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008) Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",5,ATF,841
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings,"Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007) Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981) Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008) Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",12,Criminal,841
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings,"Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007) Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981) Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008) Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",1,Civil Rights,841
