Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
Office of the AG,191,251,161,281,
Office of the DAG,132,137,92,177,
Office of the Assoc. AG,25,76,56,45,
Antitrust,52,102,97,57,
ATF,772,1282,744,1310,
BOP,1651,12707,13189,1169,
Civil,50,354,366,38,
Civil Rights,158,340,348,150,
COPS,0,57,57,0,
Criminal,215,665,678,202,
CRS,0,11,9,2,
DEA,317,1578,1551,344,
ENRD,17,79,90,6,
EOIR,1344,26614,25170,2788,
EOUSA,1525,3455,2729,2251,
EOUST,10,66,63,13,
FBI,4199,11696,12705,3190,
FCSC,0,11,10,1,
JMD,19,133,128,24,
NSD,128,196,223,101,
OCDETF,7,37,41,3,
OIG,65,271,259,77,
OIP,60,856,859,57,
OJP,51,364,325,90,
OLA,68,61,50,79,
OLC,37,91,86,42,
OLP,10,35,37,8,
OPR,32,89,111,10,
OSG,19,66,61,24,
OVW,5,87,75,17,
Pardon Attorney,1,85,58,28,
Public Affairs,27,18,10,35,
PRAO,3,12,14,1,
TAX,9,79,78,10,
USMS,196,1929,1894,231,
USNCB,5,194,198,1,
USPC,48,404,404,48,
Total,11448,64488,63026,12910,
