Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
HQ,0,16,12,4,
Region 1,0,0,0,0,
Region 2,0,0,0,0,
Region 3,0,2,2,0,
Region 4,0,0,0,0,
Region 5,0,0,0,0,
Region 6,0,0,0,0,
Region 7,0,0,0,0,
Region 8,0,1,1,0,
Region 9,0,0,0,0,
Region 10,0,0,0,0,
Total,0,19,15,4,
