Component,Description,No. of Times Used,Total
DO,Aggregated,6,8
DO,Glomar,1,8
DO,No forwarding address,1,8
TTB,N/A,0,0
OCC,"NOT FOIA-  16, Records lost-  2, No written authorization to access records- 4, No proof of ID- 25, Appealed prior to determination- 1, Records previously furnished- 1, Handled via phone exclusively- 4, Records destroyed/records retention-  4, Closed w/o determination-15, Records referred at initial request level- 1",73,73
BEP,N/A,0,0
FMS,Records available next month,1,1
IRS,N/A,0,0
MINT,N/A,0,0
BPD,N/A,0,0
OTS,"Requests were merged with OCC on July 1, 2011 as part of the Dodd-Frank Act",78,78
TIGTA,N/A,0,0
FinCEN,N/A,0,0
CFPB,N/A,0,0
Total,0,160,176
