Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
FAA,0,0,0,0,
FHWA,0,0,0,0,
FMCSA,0,0,0,0,
FRA,0,0,0,0,
FTA,0,0,0,0,
MARAD,0,1,1,0,
NHTSA,0,0,0,0,
OIG,1,7,6,2,
OST,0,1,1,0,
PHMSA,1,4,4,1,
RITA,0,0,0,0,
SLSDC,0,0,0,0,
Total,2,13,12,3,
