Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
ACF,485,62,128,254,83,194,13,86,62
CMS,3711,66,144,429,194,271,0,,
OIG,0,,,34,21,25,0,,
CDC,28,213,282,628,201,264,19,51,45
FDA,648,107,152,2267,162,229,1,691,691
HRSA,0,,,92,125,160,0,,
IHS,0,,,25,30,85,0,,
NIH,44,7,10,40,30,72,0,,
SAMHSA,17,61,79,27,185,197,0,,
OS,3,1,63,356,1,310,23,5,165
OASH,29,5,25,180,134,150,0,,
ACL,2,29,29,0,,,0,,
Total,4967,71,142,4332,148,234,56,52,110
