Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
ADJ BDS,0,2,2,0,
ALJ,0,0,0,0,
ASP,0,0,0,0,
BLS,0,2,2,0,
CFO,0,0,0,0,
EBSA,0,2,2,0,
ETA,0,0,0,0,
EXEC SEC,0,0,0,0,
ILAB,0,0,0,0,
MSHA,0,0,0,0,
OASAM,0,1,1,0,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OFCCP,0,1,1,0,
OIG,0,0,0,0,
OLMS,0,0,0,0,
OPA,0,0,0,0,
OSEC,0,1,1,0,
OSHA,4,64,67,1,
OWCP,0,1,1,0,
SOL,1,2,3,0,
VETS,0,4,2,2,
WB,0,0,0,0,
WHD,0,10,9,1,
Total,5,90,91,4,
