Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings,"Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",0,DoS,1
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings,"Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",1,OIG,1
8 U.S.C. § 1202(f) (Immigration and Nationality Act),Records pertaining to the issuance or refusal of visas or permits to enter the United States,"Medina-Hincapie v. Dep?t of State,700 F.2d 737, 741-42(D.C. Cir. 1983)",10284,DoS,10284
8 U.S.C. § 1202(f) (Immigration and Nationality Act),Records pertaining to the issuance or refusal of visas or permits to enter the United States,"Medina-Hincapie v. Dep?t of State,700 F.2d 737, 741-42(D.C. Cir. 1983)",0,OIG,10284
10 U.S.C. § 424,"Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","Physicians for Human Rights v. DOD, No. RDB-08-273, 2011 WL 1495942, at *7 (D.D.C. Apr. 19, 2011); Miller v. DOJ 562 F. Supp. 82, 112(D.D.C. 2008), Wickwire Gavin, P.C. v. DIA, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004)",10,DoS,10
10 U.S.C. § 424,"Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","Physicians for Human Rights v. DOD, No. RDB-08-273, 2011 WL 1495942, at *7 (D.D.C. Apr. 19, 2011); Miller v. DOJ 562 F. Supp. 82, 112(D.D.C. 2008), Wickwire Gavin, P.C. v. DIA, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004)",0,OIG,10
22 U.S.C. § 2778(e) (Arms Export Control Act),Certain information pertaining to export license applications,"Council for a Livable World v. U.S. Dep't of State, No. 96-1807, slip op. at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998).",2,DoS,2
22 U.S.C. § 2778(e) (Arms Export Control Act),Certain information pertaining to export license applications,"Council for a Livable World v. U.S. Dep't of State, No. 96-1807, slip op. at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998).",0,OIG,2
Pub. L. No. 99-93 § 505,Records regarding arbitration of claims before the Iran-United States Claims Tribunal,No,2,DoS,2
Pub. L. No. 99-93 § 505,Records regarding arbitration of claims before the Iran-United States Claims Tribunal,No,0,OIG,2
