Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
AF,303,258,219,176,
ARMY,122,115,125,106,
ASBCA,0,0,0,0,
DCAA,3,6,3,6,
DCMA,8,3,6,6,
DeCA,0,0,0,0,
DFAS,6,2,6,2,
DIA,117,91,163,155,
DISA,1,1,1,0,
DLA,23,7,18,13,
DoD IG,23,26,20,29,
DSS,1,1,0,1,
DTRA,1,4,1,3,
NAVY,293,315,288,312,
NGA,4,10,0,2,
NRO,6,12,7,6,
NSA,57,87,44,99,
OSD/JS,180,173,179,229,
Total,1148,1111,1080,1145,
