Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
AMS,0,0,0,0,
APHIS,0,5,3,2,
ASCR,0,0,0,0,
FAS,0,1,1,0,
FNCS,0,0,0,0,
FS,0,4,4,0,
FSA,2,24,24,2,
FSIS,0,0,0,0,
GIPSA,0,0,0,0,
NAD,0,0,0,0,
NRCS,0,2,2,0,
OBPA,0,2,2,0,
OCFO,0,0,0,0,
OGC,0,0,0,0,
OIG,0,8,6,2,
OSEC/OCIO/DM,0,6,6,0,
RD,1,1,1,1,
REE,0,0,0,0,
RMA,0,0,0,0,
Total,3,53,49,7,
