Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
ADJ BDS,29,22,27,27,
ALJ,167,156,164,162,
ASP,13,5,9,8,
BLS,43,31,45,32,
CFO,20,12,20,12,
EBSA,2030,2123,2084,2110,
ESA,11687,2996,11611,3096,
ETA,552,817,475,946,
ILAB,27,11,24,15,
JOB CORP,9,5,6,8,
MSHA,1274,1564,1252,1591,
OASAM,206,213,191,243,
OCIA,10,3,6,7,
ODEP,8,0,8,0,
OIG,42,46,40,56,
OPA,10,6,9,7,
OSBP,15,11,15,9,
OSHA,11690,12646,11478,12509,
SOL,12,9,18,6,
VETS,85,107,84,107,
WB,15,15,15,19,
Total,27944,20798,27581,20970,
