Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
ACF,Date of Receipt,2008-09-18,2008-09-18,2008-09-18,2008-08-28,2008-08-12,2008-06-12,2008-06-12,2008-05-09,2008-05-02,2008-02-27
ACF,Number of Days Pending,490,490,490,509,520,548,570,642,794,808
CMS,Date of Receipt,2011-04-13,2011-03-30,2011-03-08,2011-03-03,2011-03-03,2011-03-03,2011-02-09,2011-02-08,2011-01-19,2011-01-18
CMS,Number of Days Pending,649,664,664,665,665,674,674,678,678,679
OIG,Date of Receipt,,,,,2013-09-26,2013-09-23,2013-09-19,2013-09-13,2013-08-28,2013-07-15
OIG,Number of Days Pending,,,,,2,5,7,8,23,55
CDC,Date of Receipt,2010-03-16,2010-03-15,2010-03-15,2010-01-27,2010-01-13,2009-10-30,2009-10-02,2009-06-26,2008-09-23,2008-07-25
CDC,Number of Days Pending,891,892,892,924,933,982,1001,1069,1259,1300
FDA,Date of Receipt,2009-07-21,2009-07-01,2009-06-30,2009-06-19,2009-06-09,2009-05-08,2009-02-20,2008-06-26,2008-05-28,2008-05-09
FDA,Number of Days Pending,1048,1067,1068,1075,1083,1104,1159,1321,1342,1354
HRSA,Date of Receipt,2012-09-28,2012-09-28,2012-03-19,2012-02-28,2012-02-28,2012-02-24,2011-12-27,2011-11-10,2011-10-12,2011-01-24
HRSA,Number of Days Pending,252,252,388,402,402,404,444,473,495,677
IHS,Date of Receipt,2013-07-29,2013-07-11,2013-07-05,2013-07-05,2013-06-26,2013-06-12,2013-04-23,2013-04-16,2013-04-16,2013-03-05
IHS,Number of Days Pending,45,57,61,61,68,78,114,119,119,149
NIH,Date of Receipt,2013-07-17,2013-06-13,2013-06-10,2013-06-10,2013-06-10,2013-06-06,2013-04-30,2013-04-18,2012-12-31,2011-03-22
NIH,Number of Days Pending,53,76,79,79,79,81,99,115,190,636
SAMHSA,Date of Receipt,2012-07-23,2012-07-17,2012-07-05,2012-07-03,2012-06-25,2012-06-12,2012-06-07,2012-03-15,2012-02-27,2011-10-25
SAMHSA,Number of Days Pending,310,314,322,324,330,339,342,402,415,504
OS,Date of Receipt,2010-02-25,2010-01-12,2010-01-12,2010-01-11,2010-01-08,2010-01-04,2009-10-22,2009-10-16,2009-10-05,2008-03-04
OS,Number of Days Pending,937,969,969,970,971,975,1027,1031,1040,1454
OASH,Date of Receipt,2011-05-19,2011-05-11,2011-04-28,2011-04-27,2011-03-15,2011-03-09,2011-03-04,2011-01-03,2010-11-03,2010-08-20
OASH,Number of Days Pending,617,623,632,633,664,668,671,715,758,811
