Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
BEP,0,0,0,4,9,10.25,0,0,0
BPD,0,0,0,2,9.5,9.5,0,0,0
CFPB,6,22.5,18,10,18,27,0,0,0
DO,25,46,120,206,263,446,2,283,283
FinCEN,0,0,0,0,0,0,0,0,0
FMS,8,13,12,3,121,100,0,0,0
IRS,0,0,0,761,13,22.04,0,0,0
MINT,6,11,12,0,0,0,0,0,0
OCC,75,5,7,2,14,14,3,15,13
TIGTA,0,0,0,15,3,5,1,3,3
TTB,0,0,0,3,24,25,0,0,0
Total,120,21,31,1006,13,109,6,3,101
