Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
BEP,2,6,1,34,14,19,23,45,3,3,3,3,
BPD,0,0,0,0,4,6,1,34,13,10.3,1,20,
CFPB,8,8.5,1,39,48,48.5,1,180,0,0,0,0,
DO,199,39,0,398,1268,54,0,2536,562,587,230,895,
FinCEN,1,1,0,6,5,6,0,64,0,0,0,0,
FMS,12,12,1,118,9,12,1,46,0,0,0,0,
IRS,0,0,0,0,17,21.87,0,757,8,10,11,22,
MINT,8,10,1,20,0,0,0,0,0,0,0,0,
OCC,3,9,0,254,26,39,0,187,21,26,0,139,
TIGTA,4,4,1,8,16,15,1,109,10,12,7,20,
TTB,5,7.25,2,19,13,14.23,1,30,2,2,2,2,
Total,5,17,0,398,14,26,0,2536,6,32,0,895,
