Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
FSA,127,29,7,37,1,18,2,8,22,0,12,0,263
IES,8,24,0,7,0,6,1,1,0,0,1,0,48
IES-NAGB,4,2,0,0,0,1,0,0,0,0,0,0,7
OCFO,5,0,0,0,0,1,0,0,0,0,0,0,6
OCFO-CAM,19,18,1,2,0,2,1,0,1,0,1,0,45
OCFO-FSS,0,0,0,0,0,1,0,0,0,0,0,0,1
OCIO,2,1,0,0,0,0,0,0,0,0,0,0,3
OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
OCR,16,49,0,3,0,3,0,1,6,1,5,0,84
OCR-1 Boston,28,39,0,0,0,1,0,3,0,0,0,0,71
OCR-2 New York,104,25,4,5,0,6,0,0,3,0,5,0,152
OCR-3 Philadelphia,7,46,0,0,0,3,0,0,1,0,1,0,58
OCR-4 Atlanta,34,14,9,3,0,3,0,0,0,0,0,0,63
OCR-5 Chicago,61,30,1,5,0,6,1,0,1,0,1,0,106
OCR-6 Dallas,28,53,9,1,0,9,0,0,7,1,1,0,109
OCR-7 Kansas City,14,10,2,0,0,5,0,0,0,0,0,0,31
OCR-8 Denver,9,17,7,3,0,3,0,0,1,0,3,0,43
OCR-9 San Francisco,23,29,2,3,0,1,0,0,0,0,0,0,58
OCR-10 Seattle,19,40,2,5,0,0,0,0,0,0,0,0,66
OCR-12 Cleveland,15,7,5,2,0,5,0,0,2,0,1,0,37
OCR-Metro D.C.,10,32,0,0,0,2,0,0,0,0,0,0,44
OELA,0,2,0,2,0,1,1,0,0,0,0,0,6
OESE,6,52,0,14,2,2,0,0,1,0,0,0,77
OGC,0,1,0,0,0,0,0,0,0,0,0,0,1
OIG,1,15,20,8,1,1,1,0,1,0,2,0,50
OII,22,14,0,7,1,4,3,0,1,0,1,0,53
OLCA,2,2,0,0,0,0,0,0,0,0,0,0,4
OM,5,2,1,2,0,0,0,0,1,3,0,0,14
OM-RIMS,74,77,0,32,4,8,33,6,79,18,11,0,342
OPE,37,48,1,9,0,4,3,1,1,1,0,0,105
OPEPD,1,16,0,4,0,0,0,0,1,0,0,0,22
OS,3,0,0,0,0,0,0,0,0,0,0,0,3
OSDFS,2,28,0,4,0,19,9,2,0,0,0,0,64
OSERS,13,17,0,2,0,0,2,0,0,0,0,0,34
OUS,0,0,0,0,0,0,0,0,0,0,0,0,0
OVAE,1,1,0,2,0,1,0,0,0,1,1,0,7
Total,700,740,71,162,9,116,57,22,129,25,46,0,2077
