Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
BIA,0,,,145,10,58,0,,,
BLM,2,3,3,132,25,151,0,,,
BOEM,0,,,13,197,219,0,,,
BOR,0,,,14,9,22,0,,,
BSEE,0,,,30,97,226,0,,,
FWS,1,3,3,133,29,64,0,,,
NPS,0,,,100,31,130,0,,,
OIG,0,,,45,261,354,7,350,378,
OS,0,,,49,105,157,1,632,632,
OSM,0,,,10,16,69,0,,,
SOL,0,,,44,219,345,0,,,
USGS,0,,,11,9,23,0,,,
Total,3,3,3,726,38,137,8,371,409,
