Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,Transferred outside of DOT,1,13
OIG,Transferred to another DOT component,12,13
OS,Publicly Available Information,6,7
OS,Responded to outside of FOIA,1,7
OIG,FOIA Misdirected,1,1
OIG,Records Publicly Available,2,2
OIG,Assigned to other bureau/office for response,1,7
OIG,Request administratively closed,6,7
OS,Request administratively closed,15,47
OS,Assigned to other bureau/office for response,27,47
OS,Requester failed to provide requested clarification,4,47
OS,Requester failed to provide written consent of subject individual,1,47
OIG,N/A,0,0
OIG,Records on website,4,24
OIG,Administratively Closed - Based on response/non-response due to continued interest calls and correspondence,20,24
OS,Administrative Closure - Based on Response and Non Response to Continued Interest calls and Correspondence,24,32
OS,In Litigation,4,32
OS,Referred to website,4,32
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
FSA,Records Not Available in Format Requested.,2,10
FSA,Requester Referred to Public Website.,3,10
FSA,Request closed due to litigation.,1,10
FSA,Requester failed to provide adequate mailing address.,4,10
OCFO,No response from requester.,1,1
OGC,Appealed prior to agency response.,1,1
OIG,N/A,0,0
OGC,FOIA Request not required.,1,1
OIG,N/A,0,0
OIG,N/A,0,0
Total,0,146,432
