Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,
Admin,0,0,N/A,N/A,
BVA,0,0,N/A,N/A,
C&LA,0,0,N/A,N/A,
CFM,0,2,212,212,
GC,1,0,N/A,N/A,
HRM,1,0,N/A,N/A,
IG,0,0,N/A,N/A,
Mgmt,2,0,N/A,N/A,
NCA,0,0,N/A,N/A,
OAL,3,5,N/A,8.88,
OASHRA,0,0,N/A,N/A,
OASP&IA,0,0,N/A,N/A,
ODASB,0,0,N/A,N/A,
ODASIA,1,0,N/A,N/A,
ODI,0,0,N/A,N/A,
OIT,1,0,N/A,N/A,
ORM,0,0,N/A,N/A,
OSDBU,0,0,N/A,N/A,
OSP,0,0,N/A,N/A,
P&P,0,0,N/A,N/A,
PA,6,0,4,43.67,
SEC,8,1,N/A,N/A,
VBA,21,1,1,13.59,
VHA,190,70,N/A,7.35,
Total,234,79,N/A,N/A,
