Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
HQ,2085,2164,2207,2080,
Region 1,7,278,340,279,
Region 2,2285,2269,2239,2529,
Region 3,1527,1565,1513,1548,
Region 4,827,736,817,756,
Region 5,1853,1730,1912,1712,
Region 6,710,640,816,584,
Region 7,760,642,765,664,
Region 8,342,381,325,399,
Region 9,682,676,673,688,
Region 10,437,411,459,396,
Total,11515,11492,12066,11635,
