Component,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Request in Litigation,Appeal Based Solely on Denial for Expedited Processing,Other,
FAA,8,0,9,0,0,5,0,0,0,0,0,
FHWA,2,0,2,0,0,0,0,1,0,0,2,
FMCSA,0,0,1,0,0,0,0,0,0,0,0,
FRA,1,0,0,0,0,0,0,0,0,0,0,
FTA,3,0,0,0,0,0,0,0,0,0,0,
MARAD,1,0,0,0,0,0,0,0,0,0,0,
NHTSA,2,0,0,0,0,0,0,0,2,0,0,
OIG,0,0,1,0,0,0,0,0,0,0,0,
PHMSA,0,0,0,0,0,0,0,1,0,0,0,
RITA,1,0,0,0,0,0,0,0,0,0,1,
Total,18,0,13,0,0,5,0,2,2,0,3,
