Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
BIS,2,1,25,5,8,7,4,2,4,1,4,0,0,0,
Census,0,6,25,8,8,30,0,0,0,0,0,0,0,0,
EDA,0,0,0,2,7,3,0,0,0,0,0,0,0,0,
ITA,0,1,0,4,1,2,0,0,0,0,0,0,0,0,
NIST,0,0,5,8,2,4,0,0,0,0,0,0,0,0,
NOAA,0,5,22,22,51,36,7,3,3,1,3,0,0,0,
NTIA,0,1,0,6,13,6,0,0,0,0,0,0,0,0,
NTIS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
OIG,1,1,0,1,4,0,4,0,24,0,1,0,0,0,
OS,0,11,6,1,27,32,0,1,6,0,1,1,0,0,
PTO,0,16,9,11,16,22,1,0,1,0,0,0,0,0,
Total,3,42,92,68,138,142,16,6,38,2,9,1,0,0,
