Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
BPA,0,0,1,5,6,14,0,0,0,0,0,0,0,0,
CH,0,0,1,3,4,6,0,0,0,0,0,0,0,0,
EMCBC,0,0,5,3,3,4,0,0,0,0,0,0,0,0,
GFO,0,2,2,73,16,20,0,0,1,0,0,0,0,0,
HQ,2,4,6,114,51,137,12,0,22,7,0,0,0,0,
ID,0,0,1,3,2,4,1,0,0,0,0,0,0,0,
NETL,0,0,0,37,0,2,0,0,0,0,0,0,0,0,
NNSA,5,12,16,11,12,27,0,0,0,0,0,7,0,0,
NRLFO,0,0,0,2,1,1,0,0,0,0,0,0,0,0,
ORO,0,0,1,2,2,18,1,0,0,0,0,0,0,0,
OSTI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
ROO,0,1,0,1,3,20,0,0,0,0,0,2,0,0,
SEPA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
SPR,0,0,0,5,0,0,0,0,0,0,0,0,0,0,
SRO,0,0,1,1,1,4,0,0,1,0,0,0,0,0,
WAPA,0,0,2,11,1,1,0,0,0,0,0,0,0,0,
Total,7,19,37,273,102,258,14,0,24,7,0,9,0,0,
