Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
HQ,163,149,28,134,311,119,9,3,28,1,33,0,978
OIG,7,46,22,25,12,1,1,1,1,0,0,0,116
R01,58,9,2,16,2,7,0,0,0,1,3,0,98
R02,78,7,1,15,5,2,2,1,3,1,2,0,117
R03,59,15,3,22,11,11,4,0,3,0,7,0,135
R04,223,35,12,57,5,28,11,0,19,4,6,0,400
R05,46,13,1,17,6,9,6,3,4,2,2,0,109
R06,79,19,2,22,9,3,5,0,1,0,1,0,141
R07,6,10,1,6,5,4,4,0,3,4,1,0,44
R08,80,7,4,2,6,5,0,0,1,0,3,0,108
R09,63,48,6,44,13,22,1,1,4,1,5,0,208
R0X,33,24,6,12,4,7,4,0,0,0,0,0,90
Total,895,382,88,372,389,218,47,9,67,14,63,0,2544
