Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
CBP,3319,925,333,287,204,80,18,22,22,16,32,0,0,5258,
CRCL,8,8,0,1,0,1,0,1,1,0,0,0,0,20,
FEMA,16,16,12,9,2,4,2,3,1,0,5,4,7,81,
FLETC,96,26,10,7,9,0,0,0,0,0,0,0,0,148,
I&A,22,10,0,0,0,0,0,0,0,0,0,0,0,32,
ICE,2205,114,29,19,14,5,8,4,3,1,14,21,26,2463,
MGMT,114,10,0,0,0,0,0,0,0,0,0,0,0,124,
NPPD,26,4,5,4,3,3,3,1,1,0,0,0,0,50,
OGC,5,1,0,1,0,0,0,0,0,0,0,0,0,7,
OIG,49,35,14,12,12,8,2,1,0,4,10,12,1,160,
OPS,16,3,0,0,0,0,0,0,0,0,0,0,0,19,
PLCY,4,6,0,0,0,0,0,0,0,0,0,0,0,10,
PRIV,629,12,0,0,0,0,0,0,0,0,0,0,0,641,
S&T,47,13,5,3,1,0,0,0,0,0,0,0,0,69,
TSA,58,23,9,5,10,5,1,3,1,0,0,0,0,115,
US-VISIT,1835,230,0,0,0,1,0,0,0,0,0,0,0,2066,
USCG,3438,491,67,28,17,12,5,9,2,2,12,8,37,4128,
USCIS,905,582,910,869,1231,1716,1107,804,576,523,3277,3356,8434,24290,
USSS,145,575,125,0,0,0,0,0,0,0,0,0,0,845,
Total,12937,3084,1519,1245,1503,1835,1146,848,607,546,3350,3401,8505,40526,
