Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
BPA,0,0,1,7,7,14,0,0,0,0,0,0,0,0,
CBFO,0,0,1,4,1,3,0,0,0,0,0,0,0,0,
CH,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
EMCBC,0,1,0,2,3,4,0,0,0,0,0,0,0,0,
GFO,0,0,0,48,12,27,0,2,2,0,0,0,0,0,
HQ,5,14,3,113,22,79,4,1,27,0,0,0,0,0,
ID,0,0,2,2,1,3,0,0,0,0,0,0,0,0,
NETL,0,0,0,61,5,3,0,0,0,0,0,0,0,0,
NNSA,6,14,25,7,11,34,0,0,1,0,0,0,0,1,
NRLFO,1,0,0,0,0,2,0,0,0,0,0,0,0,0,
ORO,1,1,1,3,5,8,0,0,0,0,0,0,0,0,
ROO,1,2,1,0,5,23,0,0,0,0,0,0,0,0,
SPR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
SRO,0,2,3,1,5,12,0,0,1,0,0,0,0,0,
SWPA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
WAPA,0,0,2,3,1,0,0,0,0,0,0,0,0,0,
Total,14,34,40,253,79,215,4,3,31,0,0,0,0,1,
