Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
CBP,Date of Receipt,,,,,,,,2008-09-03,2008-08-18,2008-04-11
CBP,Number of Days Pending,,,,,,,,20,31,120
CRCL,Date of Receipt,,,,,,,,,2008-07-23,2007-08-01
CRCL,Number of Days Pending,,,,,,,,,49,294
FEMA,Date of Receipt,,,,,,,,,2008-08-14,2008-01-28
FEMA,Number of Days Pending,,,,,,,,,33,173
ICE,Date of Receipt,,,,,,,,,2008-09-11,2008-09-11
ICE,Number of Days Pending,,,,,,,,,14,14
PRIV,Date of Receipt,,,,,,,,,2008-07-09,2008-07-08
PRIV,Number of Days Pending,,,,,,,,,60,61
TSA,Date of Receipt,,,,,,,,,,2008-04-10
TSA,Number of Days Pending,,,,,,,,,,121
USCG,Date of Receipt,,,,2008-09-16,2008-09-03,2008-08-26,2008-07-31,2004-12-01,2004-08-02,2004-07-01
USCG,Number of Days Pending,,,,11,20,25,43,963,1050,1072
USCIS,Date of Receipt,2008-08-11,2008-08-06,2008-08-06,2008-07-21,2008-07-16,2007-11-27,2006-11-30,2006-09-07,2006-09-07,2006-06-02
USCIS,Number of Days Pending,36,39,39,51,54,214,462,519,519,586
