Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
AMS,21,28.19,1,91,56,129,9,751,,,,,
APHIS,53,107.94,1,1101,185,276.07,14,1265,75,75,75,75,
ASCR,17,25.2,4,111,,,,,,,,,
FAS,12,16,3,76,78,89.8,34,185,128.5,128.5,76,181,
FNCS,24,37.1,1,292,27,27,27,27,349,349,349,349,
FS,19,30.03,1,602,42,56.82,1,277,4,13.83,1,62,
FSA,2,1,1,677,1,9,1,381,1,1,1,1,
FSIS,62.5,101.81,1,636,,,,,,,,,
GIPSA,2,5.3,1,25,10,12.91,3,40,,,,,
NRCS,11,28.63,1,572,23.5,42.8,1,475,,,,,
OBPA,5,5.7,1,12,,,,,,,,,
OCFO,19,19,19,19,,,,,,,,,
OGC,31,137,1,547,,,,,,,,,
OIG,39,50,5,219,200,254,46,606,,,,,
OSEC/OCIO/DM,34,57.11,1,478,135,293.19,10,1393,,,,,
RD,18,98.71,1,774,87.5,225.19,10,798,10.5,10.5,9,12,
REE,10,10.74,1,21,20,23.56,2,70,,,,,
RMA,9,16.68,1,82,127,210.1,14,753,11,11,11,11,
Total,22,10,1,1101,26,81,1,1393,11,49,1,349,
