Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Appeal
CBP,Date of Receipt,2007-09-12,2007-09-06,2007-08-31,2007-08-10,2007-08-10,2007-08-10,2007-06-22,2007-05-30,2007-04-16,2007-02-06
CBP,Number of Days Pending,515,519,522,537,537,537,571,588,619,667
OGC,Date of Receipt,2006-01-24,2005-11-22,2005-11-19,2005-11-14,2005-10-17,2005-05-02,2005-03-10,2005-03-03,2005-02-08,2005-02-08
OGC,Number of Days Pending,927,968,969,974,993,1109,1146,1151,1167,1167
TSA,Date of Receipt,,,,,,,,,2009-07-24,2009-06-23
TSA,Number of Days Pending,,,,,,,,,48,70
USCG,Date of Receipt,2009-01-15,2009-01-14,2008-10-30,2008-10-06,2008-08-26,2008-07-18,2008-02-14,2008-02-14,2007-11-14,2007-10-11
USCG,Number of Days Pending,179,180,230,247,275,302,410,410,472,495
USCIS,Date of Receipt,2005-09-08,2005-09-08,2005-09-08,2005-09-08,2005-09-08,2005-08-30,2005-08-29,2005-08-29,2005-08-29,2003-05-19
USCIS,Number of Days Pending,1019,1019,1019,1019,1019,1025,1026,1026,1026,1615
USSS,Date of Receipt,,,,,2009-09-28,2009-09-14,2009-01-06,2008-05-23,2008-05-23,2007-08-17
USSS,Number of Days Pending,,,,,3,13,186,340,340,532
