Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
5 U.S.C. § 574(b),Information in connection with dispute resoultion.,None.,4,AMS,4
7 U.S.C. § 608d(2),Information for marketing order programs that is categorized as trade secrets and commercial or financial information.,None.,3,AMS,3
7 U.S.C. § 1502 (c),Personal information in connection with policy holders and/or yield data.,None.,2,RMA,2
7 U.S.C. § 2018 (c),Names and other personally identifiable information of SNAP (Food Stamps) recipients and firms participating  in program.,"Argus Leader Media v. US Dep't of Agriculture, 2012 WL 4482939 (Sept. 27, 2012).",25,FNCS,25
7 U.S.C. § 2276(a)(2),Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information.Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular inf,"Strunk v. U.S. Dep't of Interior, 752 F. Supp. 2d, 39, 44 (D.D.C. 2010).",1,AMS,6
7 U.S.C. § 2276(a)(2),Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information.Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular inf,"Strunk v. U.S. Dep't of Interior, 752 F. Supp. 2d, 39, 44 (D.D.C. 2010).",5,REE,6
7 U.S.C. § 8791,"Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial information...maintained by the the Secretary.Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatialInformation provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatialInformation provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial","Ctr. for Biological Diversity v. USDA, 626 F.3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C. 2009).",25,APHIS,354
7 U.S.C. § 8791,"Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial information...maintained by the the Secretary.Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatialInformation provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatialInformation provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial","Ctr. for Biological Diversity v. USDA, 626 F.3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C. 2009).",261,FSA,354
7 U.S.C. § 8791,"Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial information...maintained by the the Secretary.Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatialInformation provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatialInformation provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial","Ctr. for Biological Diversity v. USDA, 626 F.3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C. 2009).",51,NRCS,354
7 U.S.C. § 8791,"Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial information...maintained by the the Secretary.Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatialInformation provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatialInformation provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial","Ctr. for Biological Diversity v. USDA, 626 F.3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C. 2009).",17,RMA,354
16 U.S.C. § 470hh,Information pertaining to the nature and location of certain archaeological resources.Information pertaining to the nature and location of certain archaeological resources.,"Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",30,FS,31
16 U.S.C. § 470hh,Information pertaining to the nature and location of certain archaeological resources.Information pertaining to the nature and location of certain archaeological resources.,"Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",1,NRCS,31
16 U.S.C. § 470w-3,"Archaeological site maps, cultural resources and historic sites.",None.,14,FS,14
41 U.S.C. § 2102,Contractor bid or proposal information; source selection information.,"Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at 3-4 (E.D. Cal. May 4, 2001)(dictum).",1,OGC,1
41 U.S.C. § 4702(b),Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.,"Sinkerfield v. HUD, No. 10-885, 2012 U.S. Dist. Lexis 35233, at 13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. Dep't of the Interior, 305 F. Supp. 2d. 21,30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",3,APHIS,15
41 U.S.C. § 4702(b),Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.,"Sinkerfield v. HUD, No. 10-885, 2012 U.S. Dist. Lexis 35233, at 13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. Dep't of the Interior, 305 F. Supp. 2d. 21,30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",10,FSA,15
41 U.S.C. § 4702(b),Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.,"Sinkerfield v. HUD, No. 10-885, 2012 U.S. Dist. Lexis 35233, at 13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. Dep't of the Interior, 305 F. Supp. 2d. 21,30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",1,NRCS,15
41 U.S.C. § 4702(b),Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.,"Sinkerfield v. HUD, No. 10-885, 2012 U.S. Dist. Lexis 35233, at 13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. Dep't of the Interior, 305 F. Supp. 2d. 21,30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",1,OGC,15
