Component,Description,No. of Times Used,Total
AF,Litigation,4,369
AF,Unable to contact requester,15,369
AF,Publicly Available,26,369
AF,Misdirected Request,42,369
AF,Administratively Closed,282,369
ASBCA,N/A,0,0
ARMY,Publicly Available,42,312
ARMY,Administratively Closed,82,312
ARMY,Misdirected Request,188,312
CENTCOM,Administratively Closed,13,15
CENTCOM,Litigation,1,15
CENTCOM,Misdirected Request,1,15
DCAA,N/A,0,0
DCMA,Misdirected Request,32,32
DeCA,N/A,0,0
DFAS,N/A,0,0
DIA,Administratively Closed,44,44
DISA,Administratively Closed,1,2
DISA,Litigation,1,2
DLA,Administratively Closed,6,14
DLA,Misdirected Request,8,14
DoDEA,N/A,0,0
DoDIG,N/A,0,0
DSS,N/A,0,0
DTIC,Publicly Available,5,10
DTIC,Administratively Closed,5,10
DTRA,Administratively Closed,8,8
EUCOM,Litigation,2,2
JFCOM,N/A,0,0
NAVY,Administratively Closed,47,361
NAVY,Misdirected Request,273,361
NAVY,Publicly Available,41,361
NGA,N/A,0,0
NORTHCOM,Administratively Closed,1,1
NRO,Administratively Closed,1,1
NSA,Publicly Available,10,45
NSA,Misdirected Request,1,45
NSA,Administratively Closed,34,45
OSD/JS,Publicly Available,65,372
OSD/JS,Litigation,10,372
OSD/JS,Misdirected Request,297,372
PACOM,N/A,0,0
SOCOM,Administratively Closed,39,42
SOCOM,Publicly Available,1,42
SOCOM,Misdirected Request,2,42
SOUTHCOM,N/A,0,0
STRATCOM,Administratively Closed,1,1
TRANSCOM,Administratively Closed,7,7
TRICARE,N/A,0,0
AFRICOM,Publicly Available,2,2
NGB,Publicly Available,1,1
Total,0,1641,5437
