Component,Number of Backlogged Requests as of the End of Fiscal Year,Number of Backlogged Appeals as of End of Fiscal Year,
AF,789,13,
ARMY,2950,55,
ASBCA,0,0,
CENTCOM,182,0,
DCAA,0,0,
DCMA,25,0,
DeCA,0,0,
DFAS,0,0,
DIA,2898,191,
DISA,157,0,
DLA,27,6,
DoDEA,3,0,
DoDIG,28,7,
DSS,2,0,
DTIC,0,0,
DTRA,10,0,
EUCOM,53,1,
JFCOM,48,0,
NAVY,1277,45,
NGA,221,7,
NORTHCOM,0,0,
NRO,0,0,
NSA,282,7,
OSD/JS,2245,339,
PACOM,37,0,
SOCOM,240,1,
SOUTHCOM,0,0,
STRATCOM,1,0,
TRANSCOM,47,3,
TRICARE,11,0,
Total,11533,675,
