Component,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Request in Litigation,Appeal Based Solely on Denial for Expedited Processing,Other,
AF,20,34,8,0,0,0,1,1,1,0,45,
ARMY,21,15,1,3,0,0,1,2,0,0,15,
DCAA,0,0,0,2,0,0,0,0,0,0,0,
DCMA,0,1,0,0,0,0,0,0,0,0,0,
DIA,8,1,1,0,0,0,0,0,0,1,3,
DLA,2,0,2,0,0,2,0,0,0,0,0,
DoDIG,0,2,0,0,0,0,0,0,0,0,0,
DSS,2,0,0,0,0,0,0,0,0,0,0,
DTRA,0,0,0,0,0,1,0,0,0,0,1,
NAVY,5,7,14,12,2,24,5,2,7,0,67,
NSA,4,0,0,2,0,0,0,0,0,1,9,
OSD/JS,16,18,41,5,0,22,3,10,0,9,17,
Total,78,78,67,24,2,49,10,15,8,11,157,
