Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
FSA,0,0,14,19,15,39,0,0,4,0,12,0,0,0,
IES,0,0,0,10,9,19,0,0,0,0,0,0,0,0,
IES-NAGB,0,0,0,1,1,1,0,0,0,0,0,0,0,0,
M,0,0,0,18,26,58,4,0,11,0,3,0,0,0,
OCFO-CAM,0,0,0,27,3,17,0,0,0,0,1,0,0,0,
OCIO,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
OCR,0,0,0,1,6,13,5,0,45,0,0,0,0,0,
OCR-1 Boston,0,0,0,0,11,8,13,0,79,0,0,0,0,0,
OCR-2 New York,0,0,0,1,0,2,19,4,32,0,1,0,0,0,
OCR-3 Philadelphia,0,0,0,0,3,0,3,0,45,0,0,0,0,0,
OCR-4 Atlanta,0,0,0,0,6,4,4,0,2,0,0,0,0,0,
OCR-5 Chicago,0,0,0,0,7,1,11,0,0,1,0,0,0,0,
OCR-6 Dallas,0,0,0,1,1,2,9,0,6,0,0,0,0,0,
OCR-7 Kansas City,0,0,0,0,3,1,9,0,6,0,0,0,0,0,
OCR-8 Denver,0,4,0,0,7,17,12,0,6,0,0,0,0,0,
OCR-9 San Francisco,0,0,0,0,7,63,18,0,63,0,0,0,0,0,
OCR-10 Seattle,0,0,0,0,6,0,17,0,60,0,0,0,0,0,
OCR-12 Cleveland,0,0,0,0,0,0,7,0,5,0,1,0,0,0,
OCR-Metro D.C.,0,0,0,1,3,2,17,0,47,0,0,0,0,0,
ODS,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
OESE,0,0,0,18,5,63,0,0,0,0,1,0,0,0,
OGC,0,0,0,0,1,1,0,0,0,0,1,0,0,0,
OIG,0,0,0,1,7,9,8,0,4,5,16,0,0,0,
OII,0,0,0,10,1,15,0,0,0,0,0,0,0,0,
OLCA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
OM,0,0,0,2,1,28,0,0,1,0,0,0,0,0,
OM-PIRMS,0,0,0,13,7,24,2,0,8,0,0,0,0,0,
OPE,0,1,0,55,3,39,0,0,1,0,0,0,0,0,
OS,0,0,0,0,2,2,0,0,0,0,0,0,0,0,
OSERS,0,0,0,35,2,39,0,0,1,0,0,0,0,0,
OUS,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
OVAE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Total,0,5,14,215,143,473,158,4,426,6,36,0,0,0,
