Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
CBP,4894,66,65.12,191,36,43.87,0,,,
CRCL,0,,,6,53,42.5,0,,,
FEMA,94,36,43.44,442,306.5,378.82,0,,,
FLETC,5,103,93,0,,,0,,,
I&A,0,,,21,101,108.67,0,,,
ICE,18,7,10.67,32,25,65.66,0,,,
MGMT,2,8,8,9,15,25,0,,,
NPPD,33,14,15.33,61,98,104.25,0,,,
OGC,0,,,5,415,330,0,,,
OIG,4,4.5,4.5,5,14,13.4,0,,,
OPS,0,,,0,,,0,,,
PLCY,0,,,2,8.5,8.5,0,,,
PRIV,24,2,3.79,12,13.5,59.42,0,,,
S&T,0,,,0,,,0,,,
TSA,0,,,661,158,193.07,0,,,
US-VISIT,7,14,40,0,,,0,,,
USCG,186,12,68.46,500,5,223.66,0,,,
USCIS,6734,70,68.35,32949,77,77.96,4,99,114.91,
USSS,54,11,10.26,558,229,382.2,4,177,313.5,
Total,12055,68,66,35453,79,91,8,141,214,
