Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
Office of the AG,0,0,2,0,2,1,2,0,0,0,1,0,8,16,
Office of the DAG,0,0,1,0,2,0,0,0,0,1,0,1,7,12,
Office of the Assoc. AG,0,0,0,0,1,0,1,0,0,0,0,0,0,2,
Antitrust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOP,13,0,0,0,0,0,0,0,0,0,0,0,0,13,
Civil,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
Civil Rights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
COPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Criminal,2,1,4,0,0,0,0,0,0,0,0,0,0,7,
CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DEA,1,0,0,0,0,0,0,1,0,0,0,0,0,2,
ENRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EOIR,13,11,6,2,0,0,0,0,0,0,0,0,0,32,
EOUSA,3,5,3,2,0,1,2,0,1,0,1,0,8,26,
EOUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FBI,3,2,7,3,2,4,4,1,1,0,2,0,3,32,
FCSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NDIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSD,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
ODR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OFDT,5,1,1,0,0,0,0,0,0,0,0,0,0,7,
OIG,1,1,0,0,0,2,0,0,0,0,0,0,0,4,
OIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OJP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OLA,1,0,1,0,0,1,0,0,0,0,0,0,5,8,
OLC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
OLP,0,0,0,0,0,1,0,0,0,0,0,0,2,3,
OPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OSG,40,0,0,0,0,0,0,0,0,0,0,0,0,40,
OVW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pardon Attorney,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
Public Affairs,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
PRAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
USMS,5,0,0,0,0,0,0,0,0,0,0,0,0,5,
USNCB,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
USPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,91,21,25,8,8,10,9,2,2,1,5,1,33,216,
