Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,
Office of the AG,0,0,N/A,N/A,
Office of the DAG,0,0,N/A,N/A,
Office of the Assoc. AG,0,0,N/A,N/A,
Antitrust,0,3,1,1,
ATF,5,0,1,1.2,
BOP,3,318,1,1.01,
Civil,4,2,5,7.33,
Civil Rights,0,0,N/A,N/A,
COPS,0,0,N/A,N/A,
Criminal,0,1,1,1,
CRS,0,0,N/A,N/A,
DEA,4,19,1,5.52,
ENRD,3,1,23.5,24.5,
EOIR,12,13,1,6.68,
EOUSA,0,37,1,1,
EOUST,0,0,N/A,N/A,
FBI,111,757,2,42.42,
FCSC,0,0,N/A,N/A,
JMD,0,0,N/A,N/A,
NDIC,0,0,N/A,N/A,
NSD,5,0,3,3.2,
OCDETF,0,0,N/A,N/A,
ODR,0,0,N/A,N/A,
OFDT,3,0,1,1,
OIG,0,0,N/A,N/A,
OIP,0,14,2,2.36,
OIPL,0,0,N/A,N/A,
OJP,1,1,11.5,11.5,
OLA,0,0,N/A,N/A,
OLC,0,0,N/A,N/A,
OLP,0,0,N/A,N/A,
OPR,0,0,N/A,N/A,
OSG,0,0,N/A,N/A,
OVW,0,0,N/A,N/A,
Pardon Attorney,0,0,N/A,N/A,
Public Affairs,0,0,N/A,N/A,
PRAO,0,0,N/A,N/A,
TAX,0,0,N/A,N/A,
USMS,0,0,N/A,N/A,
USNCB,0,0,N/A,N/A,
USPC,0,0,N/A,N/A,
Total,151,1166,N/A,N/A,
