Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,N/A,0,0
FHWA,Transferred to another DOT component,19,19
NHTSA,Transferred to another DOT component,9,9
OIG,Transferred to another DOT component,9,9
OST,Transferred to another DOT component,83,83
PHMSA,Transferred to another DOT component,4,4
OIG,Unable to locate requester,2,2
OIG,Requester failed to provide requested clarification,5,17
OIG,Request administratively closed,5,17
OIG,Assigned to other bureau/office for response,1,17
OIG,Requester did not respond to the bureau's communications/unable to locate requester,5,17
OIG,Requester failed to provide written consent of subject individual,1,17
OIG,Records referred not related or indexed to requester,2,2
OIG,N/A,0,0
OIG,Administrative Closure- Based on response/non-response to continued interest correspondence,20,21
OIG,In Litigation,1,21
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Not applicable.,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,In Litigation,1,1
OIG,N/A,0,0
OIG,N/A,0,0
Total,0,167,256
