Component,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Request in Litigation,Appeal Based Solely on Denial for Expedited Processing,Other,
ADJ BDS,0,0,0,0,0,0,0,0,0,0,1,
ALJ,0,0,0,0,0,0,0,0,0,0,1,
EBSA,0,0,1,0,0,0,0,1,0,0,6,
ETA,28,0,2,0,0,1,0,0,0,0,26,
MSHA,0,1,2,0,0,0,0,1,0,0,12,
OASAM,1,0,0,0,0,0,0,2,0,0,7,
OFCCP,0,0,0,1,0,1,0,0,0,0,2,
OIG,0,0,1,0,0,0,0,1,0,0,0,
OLMS,0,0,0,0,0,1,0,1,0,0,8,
OSHA,9,0,18,0,1,4,1,7,0,0,43,
OWCP,1,0,9,0,0,6,0,0,0,0,36,
SOL,0,1,0,0,0,0,0,1,0,0,0,
VETS,1,0,1,0,0,0,0,0,0,0,2,
WHD,0,1,1,0,0,3,2,3,0,0,22,
Total,40,3,35,1,1,16,3,17,0,0,166,
