Component,Description,No. of Times Used,Total
OIG,0,0,0
OS,Publicly Available Information,3,3
OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1
OIG,Records Publicly Available,1,9
OIG,Unable to locate requester,6,9
OIG,Administratively Closed,2,9
OIG,Not applicable,0,0
OS,Request administratively closed,4,7
OS,Requester failed to provide requested clarified information,3,7
OIG,N/A,0,0
ACF,N/A,0,0
AOA,Incorrectly Routed/ Cancelled,1,1
CMS,Agency contractors denied access under the FOIA,6,580
CMS,"Administratively closed, requester did not respond/express continued interest in the records request",574,580
OIG,Records  on OIG Webpage,1,1
OPHS,N/A,0,0
AHRQ,N/A,0,0
CDC,"Administratively closed, requester did not respond/express continued interest in the records request",309,309
FDA,Records on FDA Website,671,671
HRSA,N/A,0,0
IHS,"Administratively closed, requester did not respond/express continued interest in the records request",11,11
NIH,N/A,0,0
SAMHSA,N/A,0,0
OS,N/A,0,0
OIG,N/A,0,0
OIG,NA - Other reason was not relied on for denials.,0,0
Total,0,1593,2198
