Component,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Request in Litigation,Appeal Based Solely on Denial for Expedited Processing,Other,
AF,34,1,43,2,0,26,2,5,2,0,10,
ARMY,5,0,2,1,0,0,0,0,2,0,0,
DCMA,0,0,1,0,0,0,0,0,0,0,0,
DFAS,1,0,3,0,0,0,0,0,0,0,0,
DHA,4,0,0,0,0,4,0,0,0,0,0,
DIA,0,0,0,0,0,3,0,0,0,0,0,
DLA,0,0,3,0,0,0,0,0,0,1,1,
DoD IG,0,0,1,0,0,0,0,0,1,1,4,
NAVY,23,1,8,2,0,0,4,2,1,0,89,
NGA,2,0,2,0,0,0,0,0,0,0,0,
NRO,1,0,2,0,1,0,0,0,0,1,0,
NSA,0,0,2,0,0,0,0,0,3,1,2,
OSD/JS,18,0,35,2,3,6,2,6,5,1,5,
Total,88,2,102,7,4,39,8,13,14,5,111,
