Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
BIS,29,9,21,8,0,3,2,3,0,0,4,1,80
Census,127,33,50,22,4,13,23,13,68,9,12,27,401
EDA,10,6,0,8,0,4,7,0,0,0,0,0,35
ESA,0,0,0,2,0,2,0,0,1,0,1,0,6
ITA,7,3,0,7,1,2,1,0,0,0,0,0,21
MBDA,0,0,0,5,0,0,0,0,1,0,0,0,6
NIST,39,18,2,20,0,5,20,7,0,10,6,1,128
NOAA,125,89,27,37,1,44,30,22,17,5,16,12,425
NTIA,19,13,0,2,4,7,7,11,0,0,0,0,63
NTIS,3,1,2,1,0,0,0,0,0,0,0,1,8
OIG,9,35,13,6,0,10,2,10,9,8,2,0,104
OS,25,34,5,19,2,3,5,29,8,37,12,12,191
PTO,94,49,18,51,4,8,8,2,61,3,7,3,308
Total,487,290,138,188,16,101,105,97,165,72,60,57,1776
