Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
BEP,7,10,7,23,14,22,20,48,,,,,
BPD,4,8,0,27,5,8,0,30,,,,,
CFPB,13,13,6,19,13,13,6,91,,,,,
DO,34,47,1,280,106,384,1,3205,126,226,6,1126,
FinCEN,2,1,0,6,3,4,0,20,,,,,
FMS,13,12,1,20,25,26,23,30,,,,,
IRS,,,,,18,23,0,604,21,26,0,42,
MINT,8,10,1,20,,,,,,,,,
OCC,3,8.8,1,130,33,47.7,7,126,8,15.1,1,116,
OTS,5,12,0,351,10,19,0,173,,,,,
TIGTA,20,20,19,20,19,23,2,111,,,,,
TTB,8,11,7,19,52,43,25,53,,,,,
Total,7,15,0,351,16,52,0,3205,126,129,6,1126,
