Component,Description,No. of Times Used,Total
OLA,Document referred was not responsive,2,9
OLA,Directed requester to another agency/other entity,6,9
OLA,Deferred to another agency or component,1,9
OIG,0,0,0
OIG,Request referred to another DOT component,5,5
OIG,Request Misdirected and Withdrawn,13,13
OIG,Unable to locate requester,1,2
OIG,Sent in error,1,2
OIG,Not applicable,0,0
OIG,Records referred were not related or indexed to the requester,3,3
OIG,Records  on OIG Webpage,1,5
OIG,No response from Requester,4,5
OIG,None,0,0
OIG,NA - Other reason was not relied on for denials.,0,0
Total,0,37,62
