Component,Number of Backlogged Appeals as of End of Fiscal Year from Previous Annual Report,Number of Backlogged Appeals as of End of Fiscal Year from Current Annual Report,
OCTAE,0,0,
OM-OCPO,4,14,
OSHS,0,0,
FSA,11,8,
IES,1,3,
IES-NAGB,0,0,
M,7,9,
OCFO,0,0,
OCFO-CAM,1,1,
OCIO,0,0,
OCO,0,0,
OCR,5,1,
OCR-1 Boston,2,0,
OCR-2 New York,4,3,
OCR-3 Philadelphia,3,2,
OCR-4 Atlanta,1,1,
OCR-5 Chicago,5,4,
OCR-6 Dallas,4,1,
OCR-7 Kansas City,0,2,
OCR-8 Denver,0,0,
OCR-9 San Francisco,3,3,
OCR-10 Seattle,4,0,
OCR-12 Cleveland,3,0,
OCR-Metro D.C.,5,1,
ODS,1,1,
OESE,1,1,
OGC,8,9,
OIG,2,2,
OII,1,1,
OLCA,0,0,
OM,0,0,
OPE,1,1,
OPEPD,0,0,
OS,0,0,
OSERS,1,1,
OUS,0,0,
Total,78,69,
