Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
ADJ BDS,0,2,2,0,
ALJ,0,1,0,1,
ASP,0,0,0,0,
BLS,0,0,0,0,
CFO,0,0,0,0,
EBSA,0,2,2,0,
ETA,0,4,4,0,
EXEC SEC,0,0,0,0,
ILAB,0,0,0,0,
MSHA,0,0,0,0,
OASAM,0,0,0,0,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OIG,0,0,0,0,
OLMS,0,5,5,0,
OPA,0,0,0,0,
OSEC,0,0,0,0,
OSHA,6,48,51,3,
OWCP,0,2,2,0,
SOL,0,1,1,0,
VETS,0,1,1,0,
WB,0,0,0,0,
WHD,3,6,6,3,
Total,9,72,74,7,
