Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OLA,Referred Records Improperly Directed,1,4
OLA,Directed Requester to Another Entity Subject to the FOIA,3,4
OIG,N/A,0,0
OIG,Opened in Error,8,8
OGC,N/A,0,0
OIG,N/A,0,0
OGC,N/A,0,0
OIG,N/A,0,0
CBP,N/A,0,0
CRCL,N/A,0,0
FEMA,Unable to locate requester,23,41
FEMA,Litigation,17,41
FEMA,Opened in Error,1,41
FLETC,N/A,0,0
I&A,N/A,0,0
ICE,Referred Records are Non Responsive,46,4180
ICE,Fugitive Disentitlement,4053,4180
ICE,Unable to locate requester,77,4180
ICE,Litigation,4,4180
NPPD,Unable to locate requester,1,1
OIG,Unable to locate requester,2,5
OIG,Opened in Error,3,5
PRIV,Litigation,1,6
PRIV,Unable to locate requester,1,6
PRIV,Aggregated,4,6
S&T,N/A,0,0
TSA,Unable to locate requester,7,9
TSA,Litigation,2,9
USCG,Unable to locate requester,104,104
USCIS,N/A,0,0
USSS,Opened in Error,6,16
USSS,Referred Records are Non Responsive,10,16
OIG,Requester failed to provide requested clarification,4,8
OIG,Publicly Available Information,1,8
OIG,Request administratively closed,2,8
OIG,Assigned to other bureau/office for response,1,8
OPA,N/A,0,0
CFO,N/A,0,0
OIG,N/A,0,0
OGC,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OGC,N/A,0,0
OIG,Request Opened in Error,8,8
OGC,N/A,0,0
OIG,N/A,0,0
OLA,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
Total,0,4390,17082
