Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
ACF,722,1133,1538,317,
AOA,0,27,27,0,
CMS,10312,46586,51665,5233,
OIG,24,563,569,18,
AHRQ,11,57,61,7,
CDC,488,1207,1372,323,
FDA,4880,9690,9879,4691,
HRSA,31,369,369,31,
IHS,31,98,94,35,
NIH,114,1253,1282,85,
SAMHSA,81,216,143,154,
OS,722,2144,2306,560,
OPHS/PSC,217,496,555,158,
Total,17633,63839,69860,11612,
