Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
A&MM (049),Date of Receipt,2005-03-17,2005-03-02,2005-02-10,2005-02-09,2005-02-09,2005-02-09,2005-02-09,2005-02-08,2005-02-03,2005-01-26
A&MM (049),Number of Days Pending,890,901,914,915,915,915,915,916,919,925
OCFM (00CFM),Date of Receipt,,,,,,,,,2008-07-02,2008-05-21
OCFM (00CFM),Number of Days Pending,,,,,,,,,62,91
GC (02),Date of Receipt,,,,,,2008-08-25,2008-08-01,2008-07-14,2008-07-11,2008-02-29
GC (02),Number of Days Pending,,,,,,25,41,55,56,149
OHRM (05),Date of Receipt,,,,,,,,,,2008-09-18
OHRM (05),Number of Days Pending,,,,,,,,,,8
IG (50),Date of Receipt,,,,,,,,,2008-09-29,2008-09-25
IG (50),Number of Days Pending,,,,,,,,,1,3
NCA (40),Date of Receipt,,,,,,,,,2008-09-22,2008-08-25
NCA (40),Number of Days Pending,,,,,,,,,6,25
OI&T (005),Date of Receipt,2008-06-20,2008-05-30,2008-05-06,2008-04-28,2008-03-25,2007-11-16,2007-11-05,2007-05-21,2007-01-10,2006-10-26
OI&T (005),Number of Days Pending,70,85,102,108,132,219,227,343,434,484
VBA (20),Date of Receipt,2005-06-21,2005-02-22,2005-01-28,2005-01-03,2004-09-17,2004-08-25,2004-07-14,2004-02-24,2003-11-10,2003-03-26
VBA (20),Number of Days Pending,823,907,923,941,1012,1028,1058,1157,1227,1387
VHA (10),Date of Receipt,2007-11-01,2007-10-22,2007-10-16,2007-10-11,2007-10-10,2007-10-04,2007-10-03,2007-10-02,2007-10-01,2007-09-05
VHA (10),Number of Days Pending,229,237,241,244,245,248,249,250,251,269
