Component,Number of 'Full Time FOIA Employees',Number of 'Equivalent Full-Time FOIA Employees',Total Number of 'Full-Time FOIA Staff',
OCTAE,0,0.1,0.1,
OSHS,0,0.1,0.1,
OM-OCPO,8,0,8,
FSA,2,1.25,3.25,
IES,0,0.2,0.2,
IES-NAGB,0,1,1,
M,0,0,0,
OCFO,0,0.25,0.25,
OCFO-CAM,0,0.7,0.7,
OCIO,0,0.4,0.4,
OCO,0,1,1,
OCR,0,1.5,1.5,
OCR-1 Boston,0,0.82,0.82,
OCR-2 New York,0,2.96,2.96,
OCR-3 Philadelphia,0,1.4,1.4,
OCR-4 Atlanta,0,2.45,2.45,
OCR-5 Chicago,0,3.3,3.3,
OCR-6 Dallas,0,1.8,1.8,
OCR-7 Kansas City,0,0.73,0.73,
OCR-8 Denver,2,0,2,
OCR-9 San Francisco,4,0,4,
OCR-10 Seattle,0,0.3,0.3,
OCR-12 Cleveland,0,0.2565,0.2565,
OCR-Metro D.C.,0,3.15,3.15,
ODS,0,0.1,0.1,
OESE,1,3,4,
OGC,0,1.65,1.65,
OIG,0,6,6,
OII,0,1,1,
OLCA,0,1,1,
OM,0,0.21,0.21,
OPE,0,4.23,4.23,
OPEPD,0,1,1,
OS,0,0.11,0.11,
OSERS,0,0.55,0.55,
OUS,0,1,1,
Total,17,44,61,
