Component,Description,No. of Times Used,Total
AF,Litigation,4,641
AF,Misdirected Request,256,641
AF,Administratively Closed,310,641
AF,Unable to contact requester,71,641
ASBCA,N/A,0,0
ARMY,Administratively Closed,997,1031
ARMY,Unable to contact requester,34,1031
CENTCOM,Administratively Closed,13,14
CENTCOM,Litigation,1,14
DCAA,N/A,0,0
DCMA,Misdirected Request,40,40
DeCA,N/A,0,0
DFAS,N/A,0,0
DIA,Litigation,1,80
DIA,Misdirected Request,17,80
DIA,Administratively Closed,62,80
DISA,N/A,0,0
DLA,Misdirected Request,114,126
DLA,Administratively Closed,12,126
DoDEA,N/A,0,0
DSS,N/A,0,0
DTIC,Misdirected Request,3,4
DTIC,Administratively Closed,1,4
DTRA,Administratively Closed,4,4
EUCOM,Litigation,1,1
JFCOM,N/A,0,0
NAVY,Litigation,3,730
NAVY,Misdirected Request,667,730
NAVY,Administratively Closed,60,730
NGA,N/A,0,0
NORTHCOM,N/A,0,0
NRO,Misdirected Request,1,1
NSA,Administratively Closed,27,35
NSA,Misdirected Request,8,35
OSD/JS,Administratively Closed,83,399
OSD/JS,Litigation,7,399
OSD/JS,Misdirected Request,309,399
PACOM,Administratively Closed,1,1
SOCOM,Administratively Closed,15,15
SOUTHCOM,Administratively Closed,2,12
SOUTHCOM,Misdirected Request,4,12
SOUTHCOM,Litigation,6,12
STRATCOM,Misdirected Request,7,9
STRATCOM,Administratively Closed,2,9
TRANSCOM,N/A,0,0
TRICARE,N/A,0,0
AFRICOM,N/A,0,0
NGB,Misdirected Request,1,4
NGB,Litigation,3,4
DoD IG,Litigation,3,3
Total,0,3150,8738
