Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
FAA,3671,1382,100,1265,29,583,153,12,32,10,0,0,7237
FHWA,161,70,6,28,1,13,3,5,1,5,13,35,341
FMCSA,260,599,1,102,0,40,6,4,2,7,8,0,1029
FRA,161,93,1,77,3,47,0,2,2,0,6,0,392
FTA,60,83,4,43,0,3,0,0,0,0,0,3,196
MARAD,127,13,1,30,3,21,0,0,1,0,0,0,196
NHTSA,70,101,11,23,1,8,18,2,1,2,4,1,242
OIG,5,20,5,29,1,6,0,0,0,0,0,5,71
OST,56,56,6,27,2,5,0,0,0,8,6,73,239
PHMSA,59,40,0,15,0,3,3,0,0,1,1,5,127
RITA,19,10,2,5,2,1,0,1,0,1,0,1,42
SLSDC,3,0,1,5,0,0,0,0,0,0,0,0,9
Total,4652,2467,138,1649,42,730,183,26,39,34,38,123,10121
