Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
Office of the AG,1,3,1,3,
Office of the DAG,1,3,2,2,
Office of the Assoc. AG,0,0,0,0,
Antitrust,0,5,3,2,
ATF,1,0,1,0,
BOP,0,5,5,0,
Civil,0,5,3,2,
Civil Rights,0,4,4,0,
COPS,0,2,2,0,
Criminal,26,18,38,6,
CRS,0,2,2,0,
DEA,22,36,41,17,
ENRD,0,4,4,0,
EOIR,0,3,3,0,
EOUSA,5,29,25,9,
EOUST,0,2,2,0,
FBI,237,1052,1152,137,
FCSC,0,2,2,0,
JMD,1,2,2,1,
NDIC,0,0,0,0,
NSD,2,13,7,8,
ODR,0,0,0,0,
OFDT,0,2,2,0,
OIG,0,2,2,0,
OIP,0,1,1,0,
OIPL,0,0,0,0,
OJP,1,0,0,1,
OLA,0,0,0,0,
OLC,0,6,6,0,
OLP,0,1,1,0,
OPR,0,1,1,0,
OSG,0,0,0,0,
OVW,0,0,0,0,
Pardon Attorney,0,4,4,0,
Public Affairs,0,0,0,0,
PRAO,0,1,1,0,
TAX,0,0,0,0,
USMS,0,9,9,0,
USNCB,0,0,0,0,
USPC,0,3,3,0,
Total,297,1220,1329,188,
