Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
BIA,2011,1564,1958,1587,
BLM,944,760,940,778,
BOEM,87,94,96,92,
BOR,234,269,219,280,
BSEE,183,153,238,153,
FWS,1277,1264,1239,1168,
NPS,810,764,811,712,
OIG,98,133,113,162,
OS,410,447,431,440,
OSM,61,72,63,63,
SOL,75,80,95,66,
USGS,169,164,168,146,
Total,6359,5764,6371,5647,
