Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
HQ,2245547,51744.25,2297291.25,18741.41,0.83%,
OIG,75621,0,75621,2982.14,3.94%,
R01,107421,0,107421,225.88,0.21%,
R02,241842,0,241842,948.92,0.39%,
R03,15844.43,0,15844.43,811.83,5.12%,
R04,365231,0,365231,1884.18,0.52%,
R05,107421,0,107421,1605.18,1.49%,
R06,107421,0,107421,35.12,0.03%,
R07,80566,0,80566,732.27,0.91%,
R08,80566,0,80566,1165.2,1.45%,
R09,63091,0,63091,2151.43,3.41%,
R0X,81122.45,0,81122.45,6770.35,8.35%,
Total,3571694,51744,3623438,38054,N/A,
