Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
BIS,2,0,32,3,14,6,4,1,5,1,3,0,0,0,
Census,0,3,55,5,1,15,0,0,1,0,0,0,0,0,
EDA,0,0,0,2,5,5,0,0,0,0,0,0,0,0,
ITA,1,0,0,0,0,2,0,0,1,0,0,0,0,0,
NIST,0,1,4,12,10,15,0,0,1,0,1,0,0,0,
NOAA,0,0,12,31,41,58,6,1,10,0,6,0,0,0,
NTIA,0,2,0,2,4,5,0,0,0,0,0,0,0,0,
NTIS,0,0,2,4,0,0,0,0,0,0,0,0,0,0,
OIG,0,0,3,4,21,86,9,0,68,0,6,1,0,0,
OS,1,2,2,1,7,25,1,1,9,0,0,0,0,0,
PTO,0,5,12,9,28,49,3,0,3,0,4,0,0,0,
Total,4,13,122,73,131,266,23,3,98,1,20,1,0,0,
