Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
FAA,Date of Receipt,2005-04-18,2005-04-20,2005-11-26,2005-03-24,2004-11-19,2004-11-12,2004-03-26,2004-09-01,2004-08-16,2004-06-14
FAA,Number of Days Pending,962,1045,1080,1115,1197,1197,1245,1251,1262,1309
FHWA,Date of Receipt,2008-09-10,2008-05-28,2008-05-06,2008-03-25,2008-02-27,2007-10-29,2007-09-12,2007-08-16,2007-07-10,2006-06-14
FHWA,Number of Days Pending,265,338,353,383,402,483,515,533,560,828
FMCSA,Date of Receipt,2009-09-14,2009-08-24,2009-08-24,2009-07-17,2009-07-15,2009-06-05,2009-06-05,2009-06-04,2009-02-24,2008-12-03
FMCSA,Number of Days Pending,12,26,26,52,54,81,81,82,153,208
FRA,Date of Receipt,2008-02-13,2007-12-12,2007-11-15,2007-11-06,2007-10-30,2007-10-22,2007-10-17,2007-10-15,2007-10-15,2007-10-10
FRA,Number of Days Pending,426,471,490,497,502,508,511,512,512,516
FTA,Date of Receipt,,2009-09-30,2009-09-30,2009-09-30,2009-09-30,2009-09-29,2009-09-29,2009-09-28,2009-09-21,2009-08-12
FTA,Number of Days Pending,,1,1,1,1,1,1,2,7,34
MARAD,Date of Receipt,2005-12-16,2005-11-25,2005-10-24,2005-10-18,2005-09-30,2005-09-30,2005-07-26,2005-05-16,2005-04-12,2005-04-12
MARAD,Number of Days Pending,867,883,905,909,920,920,967,1016,1161,1161
NHTSA,Date of Receipt,2009-09-30,2009-09-30,2009-09-29,2009-09-29,2009-09-22,2009-09-15,2009-09-14,2009-09-14,2009-09-08,2009-07-16
NHTSA,Number of Days Pending,1,1,1,1,6,11,12,14,16,53
OIG,Date of Receipt,2009-04-23,2009-06-05,2009-05-12,2009-03-20,2009-02-24,2009-02-02,2009-01-05,2008-12-30,2008-01-07,2006-03-27
OIG,Number of Days Pending,65,81,98,135,153,168,187,190,437,884
OST,Date of Receipt,2009-08-19,2009-08-10,2009-07-28,2009-07-28,2009-07-06,2009-05-26,2009-04-10,2009-02-04,2008-08-25,2008-05-27
OST,Number of Days Pending,29,36,45,45,61,89,120,166,276,339
PHMSA,Date of Receipt,2009-09-30,2009-09-30,2009-09-30,2009-09-22,2009-09-08,2009-08-11,2009-08-11,2009-06-10,2009-06-04,2009-05-14
PHMSA,Number of Days Pending,1,1,1,6,16,35,35,77,79,93
