Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
BIS,17,14,4,11,1,3,39,2,0,0,0,0,91
Census,15,32,33,42,19,17,37,1,11,0,0,22,229
EDA,20,4,3,5,0,2,0,0,0,0,0,0,34
ESA,2,1,0,7,0,0,2,0,0,0,0,0,12
ITA,35,9,5,20,0,7,25,6,6,0,1,0,114
MBDA,6,2,0,0,0,1,1,0,0,0,0,0,10
NIST,30,12,7,12,3,8,20,4,0,58,0,3,157
NOAA,492,74,14,35,3,21,51,2,2,0,9,5,708
NTIA,25,6,2,8,0,4,0,0,0,0,0,0,45
NTIS,11,0,0,6,1,0,0,0,0,2,0,1,21
OIG,4,10,3,6,0,14,1,0,0,0,0,13,51
OS,58,32,1,40,15,14,41,13,0,30,1,0,245
PTO,69,59,13,54,2,6,62,6,101,2,1,0,375
Total,784,255,85,246,44,97,279,34,120,92,12,44,2092
