Component,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Request in Litigation,Appeal Based Solely on Denial for Expedited Processing,Other,
AMS,1,0,0,0,0,0,0,0,1,0,0,
APHIS,0,0,12,0,1,0,0,1,6,0,0,
FNCS,0,0,1,0,0,1,0,0,0,0,2,
FS,6,1,7,1,0,3,0,2,0,0,8,
FSA,1,0,3,0,0,0,0,0,0,1,0,
FSIS,0,0,1,0,0,0,0,0,0,0,1,
NRCS,1,1,0,0,0,0,0,0,0,0,0,
OCFO,1,0,0,0,0,0,0,0,0,0,0,
OIG,0,0,1,1,0,0,0,0,1,0,1,
RD,0,0,0,0,1,0,0,0,0,0,0,
Total,10,2,25,2,2,4,0,3,8,1,12,
