Component,Description,No. of Times Used,Total
BEP,Bureau of Engraving and Printing,0,0
BPD,Bureau of Public Debt,0,0
DO,Departmental Offices,2,2
FinCEN,Financial Crimes Enforcement Network,0,0
FMS,Financial Management Service,1,2
FMS,Financial Management Service,1,2
IRS,Internal Revenue Service,7,26
IRS,Internal Revenue Service,17,26
IRS,Internal Revenue Service,2,26
MINT,United States Mint,0,0
OCC,Office of the Comptroller of the Currency,1,4
OCC,Office of the Comptroller of the Currency,1,4
OCC,Office of the Comptroller of the Currency,2,4
OTS,Office of Thrift Supervision,0,0
TIGTA,Treasury Inspector General for Tax Administration,1,2
TIGTA,Treasury Inspector General for Tax Administration,1,2
TTB,Alcohol and Tobacco Tax and Trade Bureau,0,0
Total,0,36,100
