Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
BPA,159,105,141,134,
CBFO,0,21,0,14,
CH,63,80,62,79,
EMCBC,73,77,65,86,
GFO,316,111,336,107,
HQ,897,1075,902,1108,
ID,27,48,26,46,
NETL,21,25,20,24,
NNSA,290,302,325,340,
NR,0,0,0,0,
NRLFO,5,2,6,2,
ORO,205,209,222,207,
OSTI,17,40,14,41,
ROO,84,98,90,98,
SEPA,5,24,5,24,
SPR,5,18,5,18,
SRO,24,49,27,45,
SWPA,9,22,10,22,
WAPA,17,50,17,50,
Total,2217,2356,2273,2445,
