Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
BIA,764,509,55,202,5,32,36,26,70,6,20,92,1817
BLM,293,250,11,70,10,42,12,4,7,3,27,67,796
BOEM,56,23,1,36,0,6,1,4,1,1,7,29,165
BOR,125,66,5,48,1,15,4,1,1,2,8,69,345
BSEE,82,45,4,68,0,6,2,2,1,8,3,23,244
FWS,537,398,43,155,5,43,13,6,10,4,17,101,1332
NPS,293,291,27,79,6,44,25,1,1,1,23,52,843
OIG,36,70,25,69,4,1,0,1,1,0,0,8,215
OS,193,64,4,129,11,30,23,8,4,1,3,77,547
OSM,40,16,0,41,1,5,2,1,1,0,2,7,116
SOL,38,11,3,44,0,2,0,2,0,0,1,17,118
USGS,97,37,4,46,1,7,1,0,0,1,4,21,219
Total,2554,1780,182,987,44,233,119,56,97,27,115,563,6757
