Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
HQ,23.5,45.12,1,400,69,98.73,1,533,0,0,0,0,
OIG,12,19.3,1,285,22,32.75,8,79,0,0,0,0,
R01,15,14.18,1,45,20,20.63,1,70,7,10.83,1,24,
R02,19.5,17.94,1,56,20,25.12,1,76,4,4,1,8,
R03,13,14.7,1,65,14.5,17.71,1,54,0,0,0,0,
R04,16,18.13,1,80,16,19.32,1,68,21,21,21,21,
R05,17,15.49,1,50,12,12.75,2,27,0,0,0,0,
R06,13.5,15.67,1,94,17.5,19.56,1,66,17,17,17,17,
R07,22,29.14,1,120,26.5,46,1,119,0,0,0,0,
R08,14,18.48,1,295,17.52,1,46,0,0,0,0,0,
R09,13,17.35,1,21,21,25.26,1,82,9,9,9,9,
R0X,17,16.01,2,91,19,22.78,3,55,39,39,39,39,
Total,16,20,1,400,34,45,1,533,9,8,1,39,
