Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
OCTAE,0,N/A,N/A,N/A,N/A,
OSHS,0,N/A,N/A,N/A,N/A,
OCTAE,N/A,0,N/A,N/A,N/A,
OSHS,N/A,0,N/A,N/A,N/A,
FSA,0,1,1,1,1,
IES,0,0,N/A,N/A,N/A,
IES-NAGB,0,0,N/A,N/A,N/A,
M,0,0,N/A,N/A,N/A,
OCFO,0,1,23,23,0,
OCFO-CAM,0,0,N/A,N/A,N/A,
OCIO,0,0,N/A,N/A,N/A,
OCO,0,0,N/A,N/A,N/A,
OCR,0,1,18,18,0,
OCR-1 Boston,0,0,N/A,N/A,N/A,
OCR-2 New York,0,0,N/A,N/A,N/A,
OCR-3 Philadelphia,0,0,N/A,N/A,N/A,
OCR-4 Atlanta,0,0,N/A,N/A,N/A,
OCR-5 Chicago,0,0,N/A,N/A,N/A,
OCR-6 Dallas,0,0,N/A,N/A,N/A,
OCR-7 Kansas City,0,0,N/A,N/A,N/A,
OCR-8 Denver,0,0,N/A,N/A,N/A,
OCR-9 San Francisco,0,0,N/A,N/A,N/A,
OCR-10 Seattle,0,0,N/A,N/A,N/A,
OCR-12 Cleveland,0,0,N/A,N/A,N/A,
OCR-Metro D.C.,0,0,N/A,N/A,N/A,
ODS,0,0,N/A,N/A,N/A,
OESE,0,0,N/A,N/A,N/A,
OGC,0,0,N/A,N/A,N/A,
OIG,0,0,N/A,N/A,N/A,
OII,0,0,N/A,N/A,N/A,
OLCA,0,0,N/A,N/A,N/A,
OM,0,0,N/A,N/A,N/A,
OM-PIRMS,0,0,N/A,N/A,N/A,
OPE,0,0,N/A,N/A,N/A,
OPEPD,0,0,N/A,N/A,N/A,
OS,0,0,N/A,N/A,N/A,
OSERS,0,0,N/A,N/A,N/A,
OUS,0,0,N/A,N/A,N/A,
Total,0,3,N/A,N/A,1,
